Operations_ID,Location_ID,Date,Equipment_ID,Equipment_Name,Equipment_Type,Usage_Count,Usage_Time_Minutes,Utilization_Rate
"OP-LOC001-20200102","LOC001","2020-01-02","EQ001","Digital X-Ray Machine","Imaging",12,180,"0.33"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ002","Panoramic X-Ray","Imaging",5,100,"0.19"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ003","CBCT Scanner","Imaging",2,60,"0.11"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ004","Dental Chair 1","Treatment",10,450,"0.83"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ005","Dental Chair 2","Treatment",8,360,"0.67"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ006","Dental Chair 3","Treatment",9,405,"0.75"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ007","Dental Chair 4","Treatment",9,405,"0.75"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ008","Dental Chair 5","Treatment",8,360,"0.67"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ009","CAD/CAM System","Restoration",2,120,"0.22"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ010","Sterilization Unit","Sterilization",15,450,"0.83"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ011","Dental Laser","Treatment",3,75,"0.14"
"OP-LOC001-20200102","LOC001","2020-01-02","EQ012","Intraoral Scanner","Imaging",5,100,"0.19"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ001","Digital X-Ray Machine","Imaging",11,165,"0.28"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ002","Panoramic X-Ray","Imaging",5,100,"0.17"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ004","Dental Chair 1","Treatment",8,360,"0.60"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ005","Dental Chair 2","Treatment",7,315,"0.53"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ006","Dental Chair 3","Treatment",8,360,"0.60"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ007","Dental Chair 4","Treatment",9,405,"0.68"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ010","Sterilization Unit","Sterilization",14,420,"0.70"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ011","Dental Laser","Treatment",3,75,"0.13"
"OP-LOC002-20200102","LOC002","2020-01-02","EQ012","Intraoral Scanner","Imaging",4,80,"0.13"
"OP-LOC003-20200102","LOC003","2020-01-02","EQ001","Digital X-Ray Machine","Imaging",11,165,"0.34"
"OP-LOC003-20200102","LOC003","2020-01-02","EQ004","Dental Chair 1","Treatment",8,360,"0.75"
"OP-LOC003-20200102","LOC003","2020-01-02","EQ005","Dental Chair 2","Treatment",9,405,"0.84"
"OP-LOC003-20200102","LOC003","2020-01-02","EQ006","Dental Chair 3","Treatment",9,405,"0.84"
"OP-LOC003-20200102","LOC003","2020-01-02","EQ010","Sterilization Unit","Sterilization",9,270,"0.56"
"OP-LOC003-20200102","LOC003","2020-01-02","EQ012","Intraoral Scanner","Imaging",5,100,"0.21"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ001","Digital X-Ray Machine","Imaging",7,105,"0.19"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ002","Panoramic X-Ray","Imaging",4,80,"0.15"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ003","CBCT Scanner","Imaging",2,60,"0.11"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ004","Dental Chair 1","Treatment",7,315,"0.58"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ005","Dental Chair 2","Treatment",6,270,"0.50"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ006","Dental Chair 3","Treatment",7,315,"0.58"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ007","Dental Chair 4","Treatment",7,315,"0.58"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ008","Dental Chair 5","Treatment",7,315,"0.58"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ009","CAD/CAM System","Restoration",1,60,"0.11"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ010","Sterilization Unit","Sterilization",11,330,"0.61"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ011","Dental Laser","Treatment",2,50,"0.09"
"OP-LOC001-20200103","LOC001","2020-01-03","EQ012","Intraoral Scanner","Imaging",3,60,"0.11"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ001","Digital X-Ray Machine","Imaging",9,135,"0.23"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ002","Panoramic X-Ray","Imaging",5,100,"0.17"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ004","Dental Chair 1","Treatment",8,360,"0.60"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ005","Dental Chair 2","Treatment",7,315,"0.53"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ006","Dental Chair 3","Treatment",8,360,"0.60"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ007","Dental Chair 4","Treatment",7,315,"0.53"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ010","Sterilization Unit","Sterilization",10,300,"0.50"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ011","Dental Laser","Treatment",3,75,"0.13"
"OP-LOC002-20200103","LOC002","2020-01-03","EQ012","Intraoral Scanner","Imaging",4,80,"0.13"
"OP-LOC003-20200103","LOC003","2020-01-03","EQ001","Digital X-Ray Machine","Imaging",7,105,"0.22"
"OP-LOC003-20200103","LOC003","2020-01-03","EQ004","Dental Chair 1","Treatment",7,315,"0.66"
"OP-LOC003-20200103","LOC003","2020-01-03","EQ005","Dental Chair 2","Treatment",8,360,"0.75"
"OP-LOC003-20200103","LOC003","2020-01-03","EQ006","Dental Chair 3","Treatment",8,360,"0.75"
"OP-LOC003-20200103","LOC003","2020-01-03","EQ010","Sterilization Unit","Sterilization",8,240,"0.50"
"OP-LOC003-20200103","LOC003","2020-01-03","EQ012","Intraoral Scanner","Imaging",3,60,"0.13"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ001","Digital X-Ray Machine","Imaging",3,45,"0.17"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ002","Panoramic X-Ray","Imaging",1,20,"0.07"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ003","CBCT Scanner","Imaging",1,30,"0.11"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ004","Dental Chair 1","Treatment",2,90,"0.33"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ005","Dental Chair 2","Treatment",2,90,"0.33"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ006","Dental Chair 3","Treatment",2,90,"0.33"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ007","Dental Chair 4","Treatment",2,90,"0.33"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ008","Dental Chair 5","Treatment",2,90,"0.33"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ009","CAD/CAM System","Restoration",0,0,"0.00"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ010","Sterilization Unit","Sterilization",3,90,"0.33"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ011","Dental Laser","Treatment",1,25,"0.09"
"OP-LOC001-20200104","LOC001","2020-01-04","EQ012","Intraoral Scanner","Imaging",1,20,"0.07"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ001","Digital X-Ray Machine","Imaging",2,30,"0.10"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ002","Panoramic X-Ray","Imaging",1,20,"0.07"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ004","Dental Chair 1","Treatment",2,90,"0.30"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ005","Dental Chair 2","Treatment",2,90,"0.30"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ006","Dental Chair 3","Treatment",2,90,"0.30"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ007","Dental Chair 4","Treatment",2,90,"0.30"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ010","Sterilization Unit","Sterilization",4,120,"0.40"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ011","Dental Laser","Treatment",1,25,"0.08"
"OP-LOC002-20200104","LOC002","2020-01-04","EQ012","Intraoral Scanner","Imaging",1,20,"0.07"
"OP-LOC003-20200104","LOC003","2020-01-04","EQ001","Digital X-Ray Machine","Imaging",3,45,"0.19"
"OP-LOC003-20200104","LOC003","2020-01-04","EQ004","Dental Chair 1","Treatment",3,135,"0.56"
"OP-LOC003-20200104","LOC003","2020-01-04","EQ005","Dental Chair 2","Treatment",2,90,"0.38"
"OP-LOC003-20200104","LOC003","2020-01-04","EQ006","Dental Chair 3","Treatment",3,135,"0.56"
"OP-LOC003-20200104","LOC003","2020-01-04","EQ010","Sterilization Unit","Sterilization",4,120,"0.50"
"OP-LOC003-20200104","LOC003","2020-01-04","EQ012","Intraoral Scanner","Imaging",1,20,"0.08"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ001","Digital X-Ray Machine","Imaging",11,165,"0.31"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ002","Panoramic X-Ray","Imaging",6,120,"0.22"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ003","CBCT Scanner","Imaging",2,60,"0.11"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ004","Dental Chair 1","Treatment",7,315,"0.58"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ005","Dental Chair 2","Treatment",7,315,"0.58"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ006","Dental Chair 3","Treatment",8,360,"0.67"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ007","Dental Chair 4","Treatment",8,360,"0.67"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ008","Dental Chair 5","Treatment",8,360,"0.67"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ009","CAD/CAM System","Restoration",2,120,"0.22"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ010","Sterilization Unit","Sterilization",14,420,"0.78"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ011","Dental Laser","Treatment",3,75,"0.14"
"OP-LOC001-20200106","LOC001","2020-01-06","EQ012","Intraoral Scanner","Imaging",4,80,"0.15"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ001","Digital X-Ray Machine","Imaging",11,165,"0.28"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ002","Panoramic X-Ray","Imaging",6,120,"0.20"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ004","Dental Chair 1","Treatment",9,405,"0.68"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ005","Dental Chair 2","Treatment",10,450,"0.75"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ006","Dental Chair 3","Treatment",10,450,"0.75"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ007","Dental Chair 4","Treatment",8,360,"0.60"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ010","Sterilization Unit","Sterilization",10,300,"0.50"
"OP-LOC002-20200106","LOC002","2020-01-06","EQ011","Dental Laser","Treatment",4,100,"0.17"
