Financial_ID,Location_ID,Location_Name,Date,Year,Month,Period,Total_Revenue,Revenue_Diagnostic,Revenue_Preventive,Revenue_Restorative,Revenue_Endodontic,Revenue_Periodontic,Revenue_Prosthodontic,Revenue_Oral_Surgery,Revenue_Orthodontic,Revenue_Implant,Revenue_Adjunctive,Total_Expenses,Labor_Clinical,Labor_Administrative,Supplies_Clinical,Supplies_Office,Rent_Lease,Utilities,Equipment_Costs,Marketing,Insurance,Professional_Fees,Continuing_Education,Lab_Fees,Software_IT,Travel,Miscellaneous,EBITDA,EBITDA_Margin,Labor_Cost_Percentage,Supply_Cost_Percentage,Total_AR,AR_Current,AR_31_60,AR_61_90,AR_91_Plus,DSO,Total_Claims_Submitted,Claims_Outstanding,Claims_Denied,Avg_Days_To_Payment,Collections_Expected,Collections_Actual,Collection_Rate,Total_Procedures,Completed_Procedures,Cancelled_Procedures,Total_Patient_Visits,New_Patients,Returning_Patients,Patient_Retention_Rate,Revenue_Per_Patient,Chair_Capacity,Total_Chair_Hours,Used_Chair_Hours,Chair_Utilization,Payor_Delta_Dental,Payor_Cigna_Dental,Payor_Aetna,Payor_MetLife,Payor_Guardian,Payor_United_Healthcare,Payor_Self_Pay,Treatment_Plans_Presented,Treatment_Plans_Accepted,Treatment_Plans_Completed,Case_Acceptance_Rate,Treatment_Completion_Rate,Revenue_Per_Square_Foot,Marketing_ROI,Operating_Cash_Flow,Revenue_MoM_Change,Revenue_YoY_Change,EBITDA_MoM_Change,EBITDA_YoY_Change
"FIN-LOC001-202001","LOC001","Downtown Dental","2020-01-01",2020,1,"2020-01",300011,32409,56136,71617,26158,23091,32119,14468,25232,12877,5903,216806,54002,27001,18001,3000,12800,9000,12000,15001,9000,12000,3000,27001,9000,3000,3000,83205,"0.2773","0.2700","0.0700",420015,264609,100804,42002,37801,"42.0",1600,544,48,39,270010,240309,"0.8010",1225,1127,74,858,137,721,"0.8300","349.66",5,880,766,"0.8700",95873,48357,37004,29435,19960,13876,55506,283,212,157,"0.7491","0.7406","93.75","3.00",23502.811000000016,0,0,0,0
"FIN-LOC001-202002","LOC001","Downtown Dental","2020-02-01",2020,2,"2020-02",295821,25780,59176,74702,25780,17841,29588,14648,25311,16552,6445,208171,56206,26624,17749,2958,12928,8875,8875,8875,11833,8875,2958,23666,5916,2958,8875,87650,"0.2963","0.2800","0.0700",354985,220091,74547,31949,31949,"36.0",1578,568,47,29,266239,244940,"0.8280",1270,1207,89,889,178,711,"0.7600","332.76",5,880,739,"0.8400",78249,50114,39036,33410,22039,13774,59199,391,250,193,"0.6394","0.7720","92.44","5.00",36768.78800000003,"-0.0140",0,"0.0534",0
"FIN-LOC001-202003","LOC001","Downtown Dental","2020-03-01",2020,3,"2020-03",359278,36375,79746,85692,30499,27911,29730,18363,29100,15215,6646,260958,79041,25149,21557,3593,13056,10778,14371,25149,7186,10778,3593,28742,7186,3593,7186,98320,"0.2737","0.2900","0.0700",467061,275566,112095,42035,46706,"39.0",1916,690,38,27,323350,300716,"0.8370",1414,1315,85,990,208,782,"0.8700","362.91",5,880,678,"0.7700",105245,48825,42532,31103,32116,19892,79566,465,335,255,"0.7204","0.7612","112.27","2.14",39757.686000000045,"0.2145",0,"0.1217",0
"FIN-LOC001-202004","LOC001","Downtown Dental","2020-04-01",2020,4,"2020-04",397870,39007,70290,105241,35222,30549,37462,19503,33368,18731,8497,295159,87531,31830,23872,7957,12672,11936,11936,19894,11936,11936,3979,35808,11936,3979,7957,102711,"0.2582","0.3000","0.0800",530493,297076,122013,42439,26525,"40.0",2122,785,106,35,358083,322275,"0.8100",1800,1710,126,1260,239,1021,"0.8800","315.77",5,880,774,"0.8800",103541,65014,47195,40132,29216,22875,89896,542,363,327,"0.6697","0.9008","124.33","3.00",27115.70000000001,"0.1074",0,"0.0447",0
"FIN-LOC001-202005","LOC001","Downtown Dental","2020-05-01",2020,5,"2020-05",377179,35681,82871,87283,33148,26051,39517,20910,26396,18799,6522,273055,71664,33946,26403,7544,12800,7544,18859,22631,11315,15087,3772,22631,11315,3772,3772,104124,"0.2761","0.2800","0.0900",377179,230079,79208,33946,33946,"30.0",2012,644,60,28,339461,329277,"0.8730",1521,1415,46,1065,202,863,"0.7700","354.16",5,880,642,"0.7300",113642,52844,44093,32956,29092,19698,84853,341,252,181,"0.7390","0.7183","117.87","2.50",56222.26700000005,"-0.0520",0,"0.0138",0
"FIN-LOC001-202006","LOC001","Downtown Dental","2020-06-01",2020,6,"2020-06",340543,38713,76080,74902,28547,26392,32654,14980,27470,14475,6329,254712,71514,30649,27243,6811,12928,6811,17027,13622,13622,10216,3405,27243,3405,3405,6811,85831,"0.2520","0.3000","0.1000",431354,276067,90584,47449,25881,"38.0",1816,708,54,29,306489,303424,"0.8910",1335,1282,67,934,205,729,"0.8600","364.61",5,880,774,"0.8800",99277,57314,36026,35480,27838,18422,66184,467,313,225,"0.6702","0.7188","106.42","3.75",48711.813000000024,"-0.0971",0,"-0.1757",0
"FIN-LOC001-202007","LOC001","Downtown Dental","2020-07-01",2020,7,"2020-07",316318,30803,57795,78595,25913,23563,34614,14290,28453,15560,6732,227896,63264,22142,18979,6326,12800,6326,15816,18979,9490,9490,3163,22142,9490,3163,6326,88422,"0.2795","0.2700","0.0800",463933,273720,102065,55672,27836,"44.0",1687,557,34,38,284686,278992,"0.8820",1528,1497,61,1070,193,877,"0.7900","295.62",5,880,713,"0.8100",103397,45954,33317,34785,23232,14999,60634,524,346,249,"0.6603","0.7197","98.85","2.50",51096.476000000024,"-0.0711",0,"0.0302",0
"FIN-LOC001-202008","LOC001","Downtown Dental","2020-08-01",2020,8,"2020-08",333446,34840,63873,78027,28453,23880,37380,16150,29033,15424,6387,239415,66689,26676,20007,6669,12672,6669,13338,16672,6669,6669,3334,33345,10003,3334,6669,94031,"0.2820","0.2800","0.0800",477939,296322,105147,57353,38235,"43.0",1778,693,71,25,300101,267090,"0.8010",1204,1108,48,843,169,674,"0.8800","395.55",5,880,642,"0.7300",94156,45096,40438,37332,27223,17840,71361,278,189,151,"0.6799","0.7989","104.20","3.00",27675.246000000043,"0.0541",0,"0.0634",0
"FIN-LOC001-202009","LOC001","Downtown Dental","2020-09-01",2020,9,"2020-09",342459,38282,71863,81434,24178,20216,34924,15615,30089,18805,7052,225127,65067,23972,20548,3425,12800,10274,10274,17123,10274,10274,3425,23972,3425,3425,6849,117332,"0.3426","0.2600","0.0700",490858,269972,122715,44177,29451,"43.0",1826,566,37,37,308213,274310,"0.8010",1427,1313,29,999,150,849,"0.8400","342.80",5,880,625,"0.7100",114533,50234,41794,31815,27059,18084,58941,500,340,262,"0.6800","0.7706","107.02","3.00",49182.65900000004,"0.0270",0,"0.2478",0
"FIN-LOC001-202010","LOC001","Downtown Dental","2020-10-01",2020,10,"2020-10",383766,40766,78541,90696,29920,29846,34408,20944,31416,19822,7405,273633,72916,30701,23026,7675,12672,7675,11513,19188,11513,11513,3838,38377,11513,3838,7675,110133,"0.2870","0.2700","0.0800",486104,277079,121526,48610,24305,"38.0",2047,778,82,34,345389,310850,"0.8100",1476,1417,103,1033,186,847,"0.7800","371.51",5,880,766,"0.8700",108501,63193,42446,39744,27344,21462,81077,506,385,270,"0.7609","0.7013","119.93","3.00",37217.46000000002,"0.1206",0,"-0.0614",0
