Operations_ID,Location_ID,Location_Name,Date,Year,Month,Day_of_Week,Is_Holiday,Is_Weekend,Appointment_Capacity,Scheduled_Appointments,Actual_Appointments,Chair_Utilization,Target_Chair_Utilization,Cancellation_Count,Cancellation_Rate,No_Show_Count,No_Show_Rate,Avg_Wait_Time,Total_Patients_Seen,New_Patient_Count,Returning_Patient_Count,Target_New_Patients,Total_Labor_Hours,Total_Labor_Cost,Staff_Count,Dentist_Count,Hygienist_Count,Assistant_Count,Admin_Count,Equipment_Count,Avg_Equipment_Utilization,Active_Treatment_Plans,Completed_Treatment_Plans,Treatment_Plan_Completion_Rate,Treatment_Plans_Not_Started,Treatment_Plans_In_Progress,Treatment_Plans_Completed,Treatment_Plans_Delayed,Insurance_Claims_Submitted,Insurance_Claims_Processed,Insurance_Claims_Paid,Insurance_Claims_Denied,Insurance_Denial_Rate,Avg_Days_To_Payment,Claims_Aging_0_30,Claims_Aging_31_60,Claims_Aging_61_90,Claims_Aging_90_Plus,Target_Collection_Rate,Actual_Collection_Rate,Revenue_Per_Hour,Revenue_Per_Chair,Revenue_Per_Patient,Labor_Cost_Percentage,Supply_Cost_Percentage,Overhead_Percentage
"OP-LOC001-20200102","LOC001","Downtown Dental","2020-01-02",2020,1,"Thursday",false,false,38,38,35,"0.75","0.85",2,"0.04",2,"0.05",5,35,5,30,1.5,"107.0",6525,14,3,3,5,3,12,"0.47",14,9,"0.66",1,10,9,3,28,30,26,2,"0.07",30,17,7,3,1,"0.92","0.92",902,2178,319,"0.29","0.16","0.37"
"OP-LOC002-20200102","LOC002","Westside Smile Center","2020-01-02",2020,1,"Thursday",false,false,25,26,23,"0.83","0.82",1,"0.05",1,"0.06",6,23,3,20,1.25,"69.1",3981,9,2,2,3,2,9,"0.42",9,6,"0.68",1,6,6,2,18,18,16,1,"0.06",28,11,5,2,1,"0.90","0.93",1295,2233,266,"0.30","0.14","0.37"
"OP-LOC003-20200102","LOC003","East Valley Dental Care","2020-01-02",2020,1,"Thursday",false,false,15,16,14,"0.79","0.80",1,"0.07",1,"0.06",6,14,2,12,1,"69.8",3958,9,2,2,3,2,6,"0.59",6,4,"0.64",1,4,4,1,11,10,9,0,"0.00",33,7,3,1,1,"0.88","0.81",1152,2349,268,"0.30","0.14","0.35"
"OP-LOC001-20200103","LOC001","Downtown Dental","2020-01-03",2020,1,"Friday",false,false,28,28,25,"0.81","0.85",2,"0.05",1,"0.04",16,25,3,22,1.5,"111.1",6758,14,3,3,5,3,12,"0.35",10,6,"0.60",1,7,6,2,20,20,19,1,"0.05",28,12,5,2,1,"0.92","0.82",1247,1980,314,"0.28","0.13","0.41"
"OP-LOC002-20200103","LOC002","Westside Smile Center","2020-01-03",2020,1,"Friday",false,false,22,23,20,"0.87","0.82",2,"0.07",1,"0.05",19,20,2,18,1.25,"66.3",4004,9,2,2,3,2,9,"0.38",8,6,"0.69",1,6,6,2,16,17,16,1,"0.06",29,10,4,2,1,"0.90","0.89",1005,1830,252,"0.32","0.12","0.40"
"OP-LOC003-20200103","LOC003","East Valley Dental Care","2020-01-03",2020,1,"Friday",false,false,14,14,12,"0.76","0.80",1,"0.07",1,"0.05",13,12,2,10,1,"66.1",3675,9,2,2,3,2,6,"0.50",5,3,"0.60",1,4,3,1,10,10,9,1,"0.10",30,6,3,1,1,"0.88","0.79",1341,1944,286,"0.29","0.15","0.41"
"OP-LOC001-20200104","LOC001","Downtown Dental","2020-01-04",2020,1,"Saturday",false,true,9,9,8,"0.89","0.85",0,"0.05",0,"0.04",24,8,1,7,1.5,"60.3",3695,14,3,3,5,3,12,"0.21",3,2,"0.66",0,2,2,1,6,6,6,0,"0.00",30,4,2,1,0,"0.92","0.82",1307,2327,292,"0.31","0.13","0.38"
"OP-LOC002-20200104","LOC002","Westside Smile Center","2020-01-04",2020,1,"Saturday",false,true,6,7,6,"0.82","0.82",0,"0.05",0,"0.04",25,6,1,5,1.25,"36.5",2219,9,2,2,3,2,9,"0.21",2,1,"0.61",0,1,1,0,5,5,5,0,"0.00",28,3,1,1,0,"0.90","0.91",1234,1866,326,"0.30","0.12","0.39"
"OP-LOC003-20200104","LOC003","East Valley Dental Care","2020-01-04",2020,1,"Saturday",false,true,5,5,4,"0.71","0.80",0,"0.08",0,"0.06",19,4,1,3,1,"38.9",2248,9,2,2,3,2,6,"0.38",2,1,"0.69",0,1,1,0,3,3,3,0,"0.00",28,2,1,0,0,"0.88","0.86",1387,2190,290,"0.28","0.13","0.41"
"OP-LOC001-20200106","LOC001","Downtown Dental","2020-01-06",2020,1,"Monday",false,false,39,38,34,"0.79","0.85",2,"0.05",2,"0.05",12,34,7,27,1.5,"103.0",6151,14,3,3,5,3,12,"0.42",14,9,"0.64",1,10,9,3,27,26,24,1,"0.04",32,16,7,3,1,"0.92","0.96",1142,2262,280,"0.28","0.14","0.37"
